NGO Name,Latitude,Longitude,Average Age of Beneficiaries,People Count,Last Food Received (hrs),Food Stock Level (%),Urgency Score
Bhumi,13.081026403736695,80.27016742636116,39,187,9,52,188.05
Dean Foundation,13.081095184102328,80.25215330082695,36,89,20,6,225.42
Bhumi,13.078946923308282,80.27005787467628,35,177,21,5,268.65
Ekam Foundation,13.062227853454567,80.20689833072254,20,169,12,0,257.495
Dean Foundation,13.080118399492084,80.25352177698934,34,115,18,61,149.375
India Vision Institute,13.065167867415877,80.24453474506466,24,145,17,79,135.395
The Banyan,13.07791868475261,80.17342770513055,33,191,1,47,194.535
The Banyan,13.07794185755566,80.1856625745752,59,200,18,76,179.705
Bhumi,13.07408432548282,80.26310697335475,52,127,5,54,164.185
Ekam Foundation,13.047263209778784,80.21844178476853,64,69,7,63,123.67
Mudhra,13.053192671668183,80.23777618090378,49,62,6,47,142.335
Nice Foundation,13.047814214816926,80.22713352598879,28,72,11,65,115.57
Ekam Foundation,13.055382919470818,80.20436565432558,65,150,22,76,157.795
The Banyan,13.060755016373182,80.17592532534641,29,75,5,29,165.56
India Vision Institute,13.06883485093334,80.24259976567244,21,131,20,32,194.39
Bhumi,13.083882400778636,80.27079129480161,41,185,24,64,188.095
Bhumi,13.090328813298653,80.26458572039279,34,104,15,19,206.13
Bhumi,13.074183907559805,80.2773202109781,38,161,9,51,182.02
Life Help Centre,12.993305028206011,80.2536880403174,52,140,4,6,242.66
Bhumi,13.073530338965078,80.27339714088204,37,94,16,58,143.075
Dean Foundation,13.08621461219303,80.26102945657102,25,135,23,68,148.73
Bhumi,13.07531994180111,80.2736682312672,35,176,10,2,262.145
Mudhra,13.057932732845224,80.22123487814444,56,71,9,40,168.52
The Banyan,13.060786838908577,80.18000355279356,36,101,6,55,143.065
Mudhra,13.054560533835035,80.23674140582246,58,84,5,15,201.725
Bhumi,13.09260303271662,80.27322094862136,36,195,17,5,272.67
Ekam Foundation,13.053700621185415,80.20679258274957,56,169,18,72,171.05
Bhumi,13.092665937465974,80.26467087626497,22,174,11,90,126.17
India Vision Institute,13.070725289743775,80.24205573119626,60,131,15,35,204.63
Dean Foundation,13.09566984188322,80.26673409474652,63,91,11,91,98.5
Nice Foundation,13.058235547875787,80.22001346345175,55,168,6,76,153.81
Ekam Foundation,13.061571224232498,80.20683963230695,24,117,3,79,105.345
Dean Foundation,13.096574432465925,80.25087174708197,61,67,23,65,129.085
Dean Foundation,13.094123227411668,80.25553642970964,36,62,19,90,81.95
Dean Foundation,13.080176453746526,80.26062401156713,37,147,14,63,161.18
Mudhra,13.05635147905487,80.22816750622799,41,143,24,24,230.505
Mudhra,13.065922934940794,80.23396146273112,53,91,10,93,91.115
Mudhra,13.051633590036454,80.23233143274862,43,80,21,50,156.24
Life Help Centre,13.010353441526696,80.24833827206582,36,146,9,49,177.22
Sri Arunodayam,13.085015441253168,80.24992354474352,25,76,22,54,144.175
Mudhra,13.0688428699396,80.22861735583477,27,98,12,12,208.73
India Vision Institute,13.07660592081136,80.2412887956078,64,169,10,17,245.89
Akshaya Trust,13.03964273580038,80.25941988627835,63,165,11,38,217.185
Ekam Foundation,13.062044589113684,80.20045640479758,49,94,5,19,199.1
Sri Arunodayam,13.085494792676135,80.25427854955798,43,115,13,53,162.855
Life Help Centre,13.004308503018118,80.25150957135493,29,142,19,52,175.145
The Banyan,13.064962848187085,80.17319626374601,28,143,4,58,159.14
Sri Arunodayam,13.075620495099258,80.25275957926985,23,52,5,1,201.84
India Vision Institute,13.075174065334847,80.23031442473935,31,158,20,65,167.36
Sri Arunodayam,13.087565876666291,80.25657043601854,52,190,5,1,270.855
Dean Foundation,13.08067166495825,80.2686857100039,23,93,9,13,198.215
Ekam Foundation,13.054328155469872,80.20291758806998,45,93,19,87,106.67
Bhumi,13.077172343488828,80.27668657743165,61,99,4,66,136.845
Ekam Foundation,13.056926317432138,80.20443295513158,61,164,6,88,136.98
Akshaya Trust,13.038658065607862,80.2769833121018,25,63,22,14,195.72
Dean Foundation,13.091910213656105,80.25700145816833,21,199,1,34,211.815
Ekam Foundation,13.048474848061646,80.21431814101187,48,104,10,21,202.765
Dean Foundation,13.08194341517008,80.26843333641366,37,141,10,46,179.78
Akshaya Trust,13.023367107652913,80.27130635558662,24,176,6,51,182.915
The Banyan,13.061726687900638,80.1874553542803,27,69,15,62,118.2
Akshaya Trust,13.029562377121984,80.26658640002105,27,136,12,1,239.29
Mudhra,13.066637133939189,80.22311008911755,48,88,11,32,179.525
Life Help Centre,12.993460364181152,80.24752546854792,48,140,21,8,250.615
Dean Foundation,13.082819087459333,80.2643655778188,33,152,22,20,234.775
Sri Arunodayam,13.07579184859897,80.24005407355045,38,89,8,43,158.215
India Vision Institute,13.06241332455242,80.23542438720526,40,130,6,12,224.67
Bhumi,13.078671925457162,80.27041042854052,28,55,5,64,113.09
The Banyan,13.066123704891313,80.17761865434053,64,155,6,35,213.525
The Banyan,13.076376422102731,80.17360054052611,46,68,16,49,147.63
Bhumi,13.079023396715908,80.26173206116043,37,148,7,15,228.58
Akshaya Trust,13.025184891669998,80.26368311694696,27,53,5,81,75.03
Life Help Centre,12.993776341783546,80.24876326995538,59,96,16,60,150.34
The Banyan,13.07848364943762,80.187018984657,37,85,12,65,127.86
Nice Foundation,13.058710840340105,80.21813409513942,43,86,1,0,218.15
Sri Arunodayam,13.086968473357746,80.24847775202316,44,87,10,95,85.655
India Vision Institute,13.079145774762983,80.24438926272647,24,100,9,100,73.385
Life Help Centre,13.011701427044043,80.25726314819322,26,148,21,57,171.18
Sri Arunodayam,13.0865394908975,80.25545480090378,64,161,12,82,151.185
Bhumi,13.089811967115164,80.2684028305062,43,184,19,50,206.17
The Banyan,13.067769016457378,80.18872385768131,54,192,8,0,276.09
India Vision Institute,13.073272718237838,80.24646142793395,52,171,5,84,140.85
The Banyan,13.06746221388519,80.17468336022642,24,196,16,28,232.69
Sri Arunodayam,13.08175901480939,80.25181877727321,49,198,1,8,264.255
India Vision Institute,13.077521973845466,80.23027588552574,26,74,4,57,129.815
Bhumi,13.07995602173584,80.26431168994988,24,100,23,11,216.685
Ekam Foundation,13.057655904571924,80.21748968125493,38,162,22,7,265.165
India Vision Institute,13.078174393862524,80.24884973385203,40,175,14,71,164.685
India Vision Institute,13.076389290713704,80.24754720810203,47,174,21,70,176.54
Bhumi,13.088283301294036,80.27254853810885,25,82,1,71,103.745
The Banyan,13.068354949095712,80.18502283165506,22,94,2,53,135.58
Life Help Centre,13.002371986734646,80.24830395153924,20,112,14,49,159.7
Ekam Foundation,13.045060633127031,80.20052735775221,39,138,10,49,175.69
The Banyan,13.070729497575154,80.17292454747235,32,138,23,89,123.14
Nice Foundation,13.052222942990886,80.2294615573033,36,157,22,38,212.125
The Banyan,13.061820609966029,80.17180769229239,29,54,9,99,60.55
India Vision Institute,13.064935409283647,80.2395113665982,35,121,15,47,172.425
Sri Arunodayam,13.076012226244652,80.24588715109334,43,126,2,52,160.69
Akshaya Trust,13.028551525817086,80.27275434101753,23,77,4,91,73.885
Nice Foundation,13.0598432045574,80.22047698272203,25,70,17,15,193.24
Life Help Centre,13.011287584249176,80.25473434493462,21,123,14,76,124.94
Life Help Centre,13.00122631799828,80.25649796518955,46,70,17,49,150.15
Ekam Foundation,13.053447292667355,80.21147435471985,36,107,9,69,127.54
Sri Arunodayam,13.074242676843596,80.24147592205908,38,99,11,1,226.905
Dean Foundation,13.082122616852024,80.26391916172535,29,189,16,52,196.435
Ekam Foundation,13.06092848723142,80.2041461345122,54,61,18,22,185.945
Nice Foundation,13.059162082206964,80.21948020323805,65,63,1,48,143.095
Mudhra,13.061297720911066,80.2262805871603,38,136,24,36,204.875
Bhumi,13.079947706649286,80.26531490667148,47,190,3,30,226.08
Mudhra,13.066287237382266,80.23846026398003,22,63,1,12,181.55
Nice Foundation,13.059684125145226,80.22259176211053,45,97,21,39,184.205
Life Help Centre,13.000159060018271,80.2634249198182,60,128,4,30,199.48
India Vision Institute,13.06936957829017,80.23529392034789,30,55,7,81,78.355
Dean Foundation,13.088154888026336,80.26341591153505,62,86,23,0,241.86
Bhumi,13.0825768196873,80.28028869494455,32,109,11,97,87.63
The Banyan,13.075788775334884,80.18810639580065,21,147,17,8,244.4
Dean Foundation,13.085700199146157,80.25351097082431,29,156,8,26,212.85
Dean Foundation,13.086724089775595,80.26770463910736,54,103,17,13,222.85
Sri Arunodayam,13.088440680386244,80.25354142233316,20,83,21,28,181.855
Akshaya Trust,13.038283690651731,80.26846939470727,36,102,1,98,76.79
The Banyan,13.07641495074861,80.17279622125743,58,152,5,7,251.755
Dean Foundation,13.081061684542547,80.26701610604455,62,122,20,16,228.43
India Vision Institute,13.061494991697243,80.23245749589482,37,77,17,57,139.97
Ekam Foundation,13.055289163822296,80.21177566388799,53,89,21,7,229.835
Mudhra,13.05554326072929,80.23407882269827,55,55,21,46,155.92
Nice Foundation,13.041804728893194,80.22219946650345,65,142,10,92,126.715
The Banyan,13.07211616203749,80.17802912248806,20,67,15,36,158.82
Nice Foundation,13.053696429049362,80.2269033059785,31,198,2,62,174.55
Bhumi,13.091162351377315,80.26848950319263,62,185,13,22,250.765
Dean Foundation,13.093660349738592,80.25788595934249,43,181,4,76,153.005
Sri Arunodayam,13.078688046072926,80.24165128692697,54,125,21,86,129.545
Bhumi,13.077319736650308,80.26714696512889,35,125,3,69,130.685
Bhumi,13.082687465422444,80.28023990756482,50,147,7,49,180.11
Sri Arunodayam,13.075956247071703,80.25344569273017,58,60,18,38,171.215
Ekam Foundation,13.05285983422004,80.21628324630876,29,165,7,67,155.665
Mudhra,13.062616408025244,80.22320742878698,46,65,7,64,119.085
Bhumi,13.0744187226023,80.27686391502272,51,121,16,39,192.45
Mudhra,13.066969274716886,80.22304087180292,43,117,24,37,196.37
Nice Foundation,13.052988064178397,80.21256183236227,38,86,24,41,172.115
Sri Arunodayam,13.087640391376008,80.25856823409603,38,139,14,43,188.505
Life Help Centre,13.00549341732368,80.25194272485074,27,188,14,24,235.26
Life Help Centre,13.003367238170751,80.2482179917557,38,108,6,70,125.65
Mudhra,13.0626647943315,80.23884964364072,57,157,12,10,253.14
Bhumi,13.075477845687606,80.26803266829306,60,183,4,84,149.615
Dean Foundation,13.081687539800168,80.25655882845457,31,83,9,27,177.105
Ekam Foundation,13.059444389948249,80.2140335343739,53,154,3,62,162.835
Nice Foundation,13.054034162201008,80.22454918259535,65,93,14,100,88.015
Mudhra,13.054464446379471,80.2253519288793,39,196,19,75,173.975
Sri Arunodayam,13.083716061966747,80.24024359110388,36,74,12,81,94.26
Ekam Foundation,13.05363175366194,80.203228968651,47,196,10,14,258.655
Nice Foundation,13.054423271270949,80.21035639805596,29,63,19,10,202.465
Nice Foundation,13.04409135167722,80.22481235646049,24,181,7,85,135.36
India Vision Institute,13.076219012802582,80.23638493099357,31,60,21,68,114.635
Akshaya Trust,13.034105453669364,80.2657864082381,34,110,24,63,150.815
Akshaya Trust,13.041689697437995,80.26747571984932,54,162,5,54,181.7
Bhumi,13.08988747440726,80.27859710013381,34,188,17,21,244.805
Dean Foundation,13.092716205613888,80.26257856179107,22,126,1,4,223.64
Akshaya Trust,13.02687798870157,80.26473828356305,61,67,17,37,174.07
Akshaya Trust,13.032199131017023,80.26487234208385,30,164,5,62,165.265
Life Help Centre,13.00103929526628,80.25622117342736,58,166,10,5,264.6
Bhumi,13.08815848017467,80.27345885502227,29,61,6,99,63.725
Sri Arunodayam,13.083389728236869,80.24742348049362,56,173,19,76,169.595
Life Help Centre,13.003903332602404,80.25185488257227,60,88,5,85,103.49
Ekam Foundation,13.0457925570023,80.2173879475126,23,55,20,38,156.595
Sri Arunodayam,13.076708264816023,80.24391115099726,55,99,4,51,154.115
Life Help Centre,13.006080800484613,80.25296911887936,26,140,21,88,122.21
Ekam Foundation,13.05049452005574,80.20766689456724,30,55,13,21,174.865
Nice Foundation,13.057710402073312,80.21448390689037,61,120,4,52,168.74
Sri Arunodayam,13.073238254764536,80.24890908395463,36,137,23,57,167.14
The Banyan,13.06622337675726,80.17781095117095,44,172,3,21,231.305
Nice Foundation,13.053700444015222,80.21126234744301,64,179,4,91,138.01
Ekam Foundation,13.045834783091513,80.20794553519697,27,176,15,85,138.68
Dean Foundation,13.09024321095004,80.26098367744183,38,180,3,3,258.36
Mudhra,13.0646810053791,80.2254790881132,59,157,16,75,160.905
Nice Foundation,13.04245729099656,80.22278192959203,39,156,4,41,194.385
Mudhra,13.068683926239544,80.22995338152607,54,83,14,24,195.95
Life Help Centre,12.998954737364071,80.26339457627175,51,174,3,99,121.275
Sri Arunodayam,13.075510960790876,80.24092430677705,56,84,16,20,204.63
Dean Foundation,13.092575206143046,80.25041370148116,38,183,1,46,193.205
The Banyan,13.074260370542696,80.17196248471888,52,106,16,84,115.075
Mudhra,13.054308500398673,80.22957165484526,27,132,13,47,172.28
Akshaya Trust,13.04253451044594,80.26878767530329,53,108,5,64,140.905
Ekam Foundation,13.063660833735236,80.21119935565413,33,187,3,85,136.355
India Vision Institute,13.074756615782697,80.24010801515816,28,91,6,87,88.6
Bhumi,13.073883379923052,80.27205358139207,39,81,3,78,101.065
Akshaya Trust,13.02504014257194,80.25889429823751,29,88,7,6,209.48
Mudhra,13.05034844338856,80.2345735251969,21,113,6,60,137.055
The Banyan,13.070784274499855,80.17308845163994,27,184,1,4,252.865
Life Help Centre,13.006598527786624,80.25311663864144,48,163,6,82,138.925
The Banyan,13.069185051723718,80.17923608705715,26,54,19,63,116.725
Sri Arunodayam,13.086281232791164,80.25094315644623,36,150,7,14,230.605
Bhumi,13.073510827043462,80.27355715228423,63,140,8,13,238.55
Life Help Centre,13.000965521249633,80.2623171173378,25,58,8,30,156.84
Mudhra,13.050516806274844,80.22257367890207,20,64,11,81,80.99
Sri Arunodayam,13.0763565994064,80.25038768384213,57,162,1,25,224.93
Mudhra,13.055568436315646,80.223144597266,54,157,3,93,121.04
Dean Foundation,13.091959500520016,80.25991965997396,57,175,11,51,199.015
Dean Foundation,13.084356894981678,80.26922337326323,37,140,24,76,149.665
India Vision Institute,13.067835698853555,80.24781058154873,49,191,5,7,265.22
India Vision Institute,13.0776334112378,80.231370579281,50,191,18,22,253.905
Dean Foundation,13.099943886794534,80.26693502620877,42,71,15,83,95.955
Life Help Centre,12.994308495848689,80.2550484311921,55,181,7,36,219.95
The Banyan,13.06889749263617,80.1856502616047,58,146,14,40,206.745
Ekam Foundation,13.05590314660585,80.21843454932758,26,194,14,79,150.975
Akshaya Trust,13.034905161702351,80.26987183515968,57,143,20,19,240.16
Mudhra,13.0509336722313,80.23029412107209,38,128,13,43,182.855
Akshaya Trust,13.02576704635959,80.26435004323686,51,117,13,33,192.185
Sri Arunodayam,13.086521220821414,80.24145878513431,64,73,15,93,88.365
India Vision Institute,13.079926112884475,80.23866560774027,47,54,22,49,145.825
Sri Arunodayam,13.077167263262488,80.25341973380618,41,178,12,2,266.145
India Vision Institute,13.06555816864582,80.24538124931027,21,87,6,23,177.75
Life Help Centre,12.999084623787535,80.25368317414825,56,118,9,43,180.86
Akshaya Trust,13.032316960253723,80.27447549857621,42,178,22,3,272.47
India Vision Institute,13.069121612551346,80.24291564438626,38,175,9,64,171.18
Bhumi,13.073166265266876,80.2742390562699,38,158,5,32,205.04
Dean Foundation,13.083175742708663,80.25485796147092,30,58,14,29,165.205
India Vision Institute,13.070775255892636,80.24745450220234,48,122,6,86,112.745
Life Help Centre,13.002165069859648,80.25978864744206,27,141,16,55,168.47
Nice Foundation,13.051708404760948,80.22038942695755,64,108,2,80,115.305
India Vision Institute,13.071829899174851,80.23994621322093,21,187,12,51,191.24
Mudhra,13.05960678643956,80.22821851791473,32,116,6,37,176.59
Sri Arunodayam,13.074127677896096,80.24615343826952,48,167,11,3,264.215
India Vision Institute,13.079045052838726,80.2345064555858,59,80,17,18,203.91
Nice Foundation,13.046609664861805,80.21948685734844,39,147,7,62,158.405
Life Help Centre,13.011262397674765,80.25333383921276,46,127,17,20,218.52
Life Help Centre,12.998316428761038,80.25570018835741,65,165,15,9,264.845
Nice Foundation,13.053435167965883,80.22326272901448,22,96,7,35,165.69
Akshaya Trust,13.029150624570576,80.2596790759457,56,115,15,46,175.695
The Banyan,13.068970431013504,80.17581492648797,39,140,5,17,223.325
India Vision Institute,13.06672421136751,80.23440848853811,57,75,23,48,164.71
The Banyan,13.060627035749434,80.17367752405642,58,151,8,5,254.9
The Banyan,13.064101276443743,80.18309910637394,26,95,20,59,142.205
Bhumi,13.07680977726642,80.26579267848956,30,129,15,82,120.625
Bhumi,13.08465916201025,80.27048341372426,22,81,22,25,184.97
The Banyan,13.065301778448235,80.18360691487756,47,92,23,6,232.12
Bhumi,13.08764635658171,80.26491295516239,41,126,19,88,119.155
Life Help Centre,13.00287102531523,80.25580339297126,36,83,8,98,77.095
The Banyan,13.062094119603533,80.17447672071938,26,182,22,4,268.985
Life Help Centre,12.996852671773262,80.265765872216,47,180,6,93,131.655
The Banyan,13.06437367687181,80.17594408995394,62,63,10,47,146.715
India Vision Institute,13.06214926143859,80.24248310002864,50,183,22,85,156.75
Bhumi,13.086876165046078,80.2697614217889,26,184,3,10,249.97
Life Help Centre,13.006832498594258,80.24688275738286,51,68,4,21,183.015
Life Help Centre,12.992751195345138,80.25873349180964,48,51,13,13,197.99
Bhumi,13.092276683106936,80.27080132154184,38,163,20,50,193.995
The Banyan,13.062577215173564,80.17671553220053,65,102,17,38,185.84
Sri Arunodayam,13.071318247261596,80.24229314973853,27,134,15,87,116.26
Sri Arunodayam,13.076156556409387,80.24144222688507,60,52,21,4,219.04
India Vision Institute,13.071111491524873,80.23272307054353,32,137,21,21,223.57
Mudhra,13.069823300492336,80.2356802195998,65,80,8,71,120.725
The Banyan,13.069737762128812,80.18339785719385,63,82,7,20,198.715
Life Help Centre,13.00959940475577,80.25323428155959,35,118,3,47,161.88
Bhumi,13.079459739234808,80.26378009460537,58,134,9,34,201.84
Akshaya Trust,13.037273674343655,80.27149683290098,50,104,10,15,213.79
Bhumi,13.078372060749324,80.26255114244368,23,160,1,28,209.77
The Banyan,13.068218903440954,80.18725009091956,40,159,20,65,172.595
Life Help Centre,13.01227981069508,80.25791141362026,29,130,11,80,118.92
Life Help Centre,13.008881177894075,80.26220915907074,64,191,15,89,148.2
The Banyan,13.06577714826045,80.17486337298827,26,62,3,81,77.33
Bhumi,13.086314053137023,80.26693453143187,32,166,15,69,160.62
Mudhra,13.055084670405058,80.23125501715097,23,197,4,90,128.5
Ekam Foundation,13.04969541134812,80.20067413396583,63,158,16,53,192.415
The Banyan,13.07872286850969,80.17278144121622,34,171,21,49,199.16
Akshaya Trust,13.042621951730071,80.272722002469,53,93,18,9,225.475
Dean Foundation,13.082097014074217,80.26223153726518,31,97,18,94,90.86
India Vision Institute,13.0796393150842,80.24086670860105,56,133,16,21,217.105
The Banyan,13.069264344999024,80.18018317129534,37,116,8,1,231.505
Life Help Centre,13.002263905688432,80.2599698057726,21,144,22,63,160.235
India Vision Institute,13.07730534662799,80.23898981675235,48,193,18,16,255.705
Life Help Centre,13.005239315790163,80.2586465193446,41,140,20,16,235.165
Dean Foundation,13.087473626591157,80.2616737623987,57,66,4,22,183.68
Bhumi,13.07911700831652,80.27662400928047,44,175,7,17,240.86
Nice Foundation,13.044513630369783,80.21170819014282,39,162,12,100,114.98
Mudhra,13.067922683968758,80.22921031070355,30,123,17,86,113.705
Dean Foundation,13.089335985560067,80.26460543812937,64,154,3,87,135.94
Mudhra,13.054471234945842,80.23596091012013,26,171,10,43,198.535
The Banyan,13.069142304141677,80.1756493109887,51,74,6,56,137.305
The Banyan,13.065815768332095,80.17021230459893,24,99,1,2,210.755
Life Help Centre,12.992998236370676,80.25826840737147,49,89,15,50,158.14
Life Help Centre,12.994984584635336,80.25011467274363,33,79,16,49,150.285
Nice Foundation,13.049197487547652,80.22392909117025,24,193,22,10,264.07
India Vision Institute,13.067935129393554,80.23319373969177,22,164,18,18,232.77
Dean Foundation,13.080428377565037,80.25130507600429,27,63,15,2,207.525
Nice Foundation,13.050540781895188,80.21008167764056,49,159,3,28,216.965
Ekam Foundation,13.052896177427362,80.21434538759327,31,60,10,17,181.155
Life Help Centre,13.00068344985972,80.2473808761269,25,174,13,2,259.845
Bhumi,13.08501271127224,80.27874511855477,64,192,14,81,164.75
Ekam Foundation,13.054548822163662,80.21942342016344,65,197,15,35,238.27
Nice Foundation,13.05454894300071,80.21147482421532,30,92,23,52,155.36
India Vision Institute,13.060509878866066,80.23188582283315,30,95,23,18,206.93
Dean Foundation,13.090759889128812,80.26829652955516,60,189,5,29,233.23
Mudhra,13.062037607959097,80.22987797355421,58,81,20,8,223.285
Akshaya Trust,13.039079804282574,80.27377153072352,49,160,22,24,239.1
Mudhra,13.06594228590531,80.2205511993148,58,129,22,0,245.285
Dean Foundation,13.085439574569008,80.26945000684219,43,79,7,48,147.65
Life Help Centre,12.999966642170753,80.25567457889686,24,197,4,90,129.08
Bhumi,13.089873364642113,80.27367615320016,38,101,18,56,153.185
Dean Foundation,13.092951553492822,80.25691818336963,51,82,24,62,145.285
Dean Foundation,13.09635297036897,80.25733424520092,30,169,17,63,174.7
Life Help Centre,12.993996707809412,80.25291557301014,64,124,20,72,151.93
Sri Arunodayam,13.070147298572524,80.25931121888345,49,132,22,12,241.025
India Vision Institute,13.07474051957638,80.23895082482625,21,131,12,53,161.505
Nice Foundation,13.04189384094244,80.21767662449099,40,109,1,43,172.365
Bhumi,13.076351441036609,80.27847681073607,65,52,7,13,196.24
Akshaya Trust,13.037940189862894,80.26920366834838,41,131,14,46,179.37
Bhumi,13.081189702414648,80.2721370516569,43,92,4,4,215.98
Bhumi,13.080608456030037,80.2735887531993,54,183,22,51,210.36
Akshaya Trust,13.025284047067805,80.26740632885584,27,197,9,21,238.39
Life Help Centre,13.011829501009384,80.26084340214334,52,50,8,46,147.245
Ekam Foundation,13.047935382041864,80.20335365431183,51,161,19,37,218.935
The Banyan,13.072400247614157,80.17901719793888,43,176,12,33,215.855
Ekam Foundation,13.059088104596745,80.21975519479491,42,129,12,10,230.345
Sri Arunodayam,13.072611500078258,80.25496062239262,27,128,7,16,212.585
Bhumi,13.08021009321022,80.26644979638615,24,83,8,1,210.725
Ekam Foundation,13.05775074532946,80.21858808523665,57,193,17,56,205.09
Akshaya Trust,13.027953073810504,80.26861364780163,60,81,22,38,182.895
Mudhra,13.050673124533748,80.23922665670138,30,108,23,6,231.73
Dean Foundation,13.083505378292678,80.26734961722313,28,169,14,42,202.565
Ekam Foundation,13.061558242530923,80.2078218824145,62,115,2,0,235.83
Nice Foundation,13.050172547329211,80.21736920348582,60,69,6,93,83.26
Ekam Foundation,13.04721639751829,80.20191317743414,49,97,11,3,227.915
The Banyan,13.060770664234532,80.18569624485386,27,116,15,65,140.29
Ekam Foundation,13.045811693128307,80.20340700051182,42,90,11,47,156.71
The Banyan,13.075205622615984,80.18735672591833,47,108,4,5,224.48
Sri Arunodayam,13.076866212897734,80.24376654387116,48,132,5,39,187.7
Nice Foundation,13.059313456372683,80.21295901833248,34,142,15,39,194.75
Nice Foundation,13.04088198947917,80.22549126170168,61,185,7,28,237.025
Life Help Centre,12.995678805301738,80.25295698023268,56,154,22,84,148.805
Nice Foundation,13.059516458585362,80.21297997334516,53,98,20,61,152.145
Dean Foundation,13.095545328229225,80.2596121050017,24,121,20,80,115.98
Dean Foundation,13.087200381085076,80.26513338841377,24,133,17,87,116.95
Sri Arunodayam,13.087347303574608,80.25321292399832,54,80,18,38,177.83
Akshaya Trust,13.023323940720882,80.26628000972737,31,58,3,52,124.28
Nice Foundation,13.052919739476607,80.22180917512522,45,154,1,50,177.2
India Vision Institute,13.074087126212584,80.24180599607412,32,175,11,81,141.925
